Serial Number,Date,Heat Ratio,VPD,Ambient Temp
2,5/6/2019,1.001523629,0.5045,14.4335
2,5/7/2019,1.001309746,0.3345,10.05
2,5/8/2019,1.002182873,0.7805,18.509
2,5/9/2019,1.001276864,0.3,13.7005
2,5/10/2019,1.002383082,0.712,14.049
2,5/11/2019,1.000935252,0.567,11.1875
2,5/12/2019,1.001631947,0.496,11.516
2,5/13/2019,1.002262803,0.943,16.224
2,5/14/2019,1.001945594,1.3165,19.639
2,5/15/2019,1.001990868,1.2955,22.071
2,5/16/2019,1.001131998,0.869,24.3515
2,5/17/2019,1.000542863,0.3395,10.8945
2,5/18/2019,1.001616861,1.362,26.977
2,5/19/2019,1.001215306,0.8065,21.581
2,5/20/2019,1.000561145,0.531,12.7025
2,5/21/2019,0.999973828,0.314,10.9195
2,5/22/2019,1.001181933,1.3225,25.539
2,5/23/2019,1.00133447,1.2135,22.477
2,5/24/2019,1.000259046,0.715,22.72
2,5/25/2019,1.000911032,1.2355,26.8665
2,5/26/2019,1.000737062,0.865,23.6655
2,5/27/2019,1.000122724,0.7445,22.944
2,5/28/2019,1.000239782,0.5875,21.1155
2,5/29/2019,1.001147077,0.861,24.0985
2,5/30/2019,1.002948784,0.5285,22.0595
2,5/31/2019,1.002488028,0.8955,24.75
2,6/1/2019,1.001122111,1.1135,25.128
2,6/2/2019,1.001061304,1.675,22.3335
2,6/3/2019,1.000902629,1.338,21.294
2,6/4/2019,1.000706669,1.718,26.769
2,6/5/2019,1.000808228,1.234,27.0995
2,6/6/2019,1.000859876,1.0995,25.6955
2,6/7/2019,1.000882364,1.226,25.598
2,6/8/2019,1.000939948,1.3485,24.9925
2,6/9/2019,1.0003613,0.847,24.4485
2,6/10/2019,1.000721248,1.675,22.681
2,6/11/2019,1.000585851,2.3145,26.502
2,6/12/2019,0.999676596,0.9145,20.7815
2,7/5/2019,1.002014124,1.7145,31.2805
2,7/6/2019,1.001659647,0.916,25.428
2,7/7/2019,1.001907743,1.426,25.307
2,7/8/2019,1.001866926,1.835,27.875
2,7/9/2019,1.001707135,1.816,29.439
2,7/10/2019,1.00166311,2.526,33.183
2,7/11/2019,1.001529811,1.482,28.221
2,7/12/2019,1.001460077,2.099,29.916
2,7/13/2019,1.001472194,2.23,33.339
2,7/14/2019,1.001362409,2.312,33.339
2,7/15/2019,1.001266728,1.972,30.874
2,7/16/2019,1.00015458,0.4525,25.8775
2,7/17/2019,1.001331503,2.078,32.6785
2,7/18/2019,1.000852709,0.749,28.543
2,7/19/2019,1.001295159,1.54,33.6
2,7/20/2019,1.001312218,2.162,33.626
2,7/21/2019,1.000820089,1.279,25.283
2,7/22/2019,1.001117908,1.409,23.28
2,7/23/2019,1.001123594,1.503,26.158
2,7/24/2019,1.001154246,1.988,26.304
2,7/25/2019,1.001211845,1.886,28.593
2,7/26/2019,1.000992344,1.562,27.801
2,7/27/2019,1.001045732,1.915,30.369
2,7/28/2019,1.001056854,2.148,31.153
2,7/29/2019,1.000253118,0.799,27.014
2,7/30/2019,1.000970594,1.472,27.038
2,7/31/2019,1.000867784,1.47,24.75
2,8/1/2019,1.000882859,1.42,25.695
2,8/2/2019,1.000960214,2.086,29.464
2,8/3/2019,1.000983693,2.687,31.357
2,8/4/2019,1.000854933,2.061,30.874
2,8/5/2019,1.000896698,1.915,30.243
2,8/6/2019,1.000815641,1.176,27.308
2,8/7/2019,1.000918693,1.913,29.09
2,8/8/2019,1.00101533,2.214,28.99
2,8/9/2019,1.00080378,1.904,26.5
2,8/10/2019,1.000765478,1.967,27.333
2,8/11/2019,1.000507536,1.095,26.036
2,8/12/2019,1.000229409,0.873,27.554
2,8/13/2019,1.000675537,1.186,27.776
2,8/14/2019,1.000674301,1.2925,27.8755
2,8/15/2019,1.000678749,1.244,25.6835
2,8/16/2019,1.000618216,1.2945,27.777
2,8/17/2019,0.999738553,0.4095,24.2315
2,8/18/2019,1.000569545,0.96,27.2965
2,8/19/2019,1.000522112,1.2925,29.628
2,8/20/2019,0.9994905,0.1985,21.8085
2,8/21/2019,1.000442814,0.992,27.6035
2,8/22/2019,1.000605615,1.049,24.5085
2,8/23/2019,1.000629581,1.272,23.701
2,8/24/2019,1.000676031,1.4105,23.4005
2,8/25/2019,1.000693574,1.4055,23.858
2,8/26/2019,0.999537391,0.398,23.7855
2,8/27/2019,1.00064317,1.3265,26.0005
2,8/28/2019,1.000785246,1.314,23.3645
2,8/29/2019,1.000607098,1.6965,28.5805
2,8/30/2019,1.000630322,1.284,22.7285
2,8/31/2019,1.0006575,1.413,23.894
2,9/1/2019,0.999817794,0.5235,22.2615
2,9/2/2019,1.000611545,1.367,27.3945
2,9/3/2019,0.999755092,0.5555,27.186
2,9/4/2019,1.000307455,0.7095,20.841
2,9/5/2019,1.000598204,1.1785,22.717
2,9/6/2019,0.999931607,0.559,21.843
2,9/7/2019,1.000578192,1.188,24.448
2,9/8/2019,0.999925682,0.528,18.402
2,9/9/2019,0.999968149,0.625,24.2915
2,9/10/2019,1.00055991,1.709,31.1785
2,9/11/2019,1.00055151,1.632,31.0395
2,9/12/2019,1.000233608,0.726,26.646
2,9/13/2019,1.000422064,0.993,23.497
2,9/14/2019,1.000512724,1.31,26.036
2,9/15/2019,1.000078275,0.634,25.089
2,9/16/2019,1.00032919,0.782,25.186
2,9/17/2019,1.000566827,1.24,27.85
2,9/18/2019,1.000524088,1.444,28.27
2,9/19/2019,1.000531993,1.523,27.825
2,9/20/2019,1.000495431,1.336,28.023
2,9/21/2019,1.000016296,0.74,26.402
2,9/22/2019,0.999966667,0.673,24.267
2,9/23/2019,1.000376861,1.241,22.992
2,9/24/2019,1.000413172,1.406,25.453
2,9/25/2019,1.000524582,1.513,25.671
2,9/26/2019,1.000402303,1.51,21.604
2,9/27/2019,0.999752623,0.835,17.701
2,9/28/2019,0.999309374,0.15,14.457
2,9/29/2019,0.999262248,0.094,19.341
2,9/30/2019,1.000105932,1.2935,29.8155
2,10/1/2019,1.000193599,1.3445,29.9655
2,10/2/2019,0.999437195,0.8155,26.28
2,10/3/2019,0.999776815,0.5205,18.0335
2,10/4/2019,0.999644508,0.3395,13.846
2,10/5/2019,0.999952594,0.65,17.534
2,10/6/2019,1.000296587,1.2055,19.948
2,10/7/2019,1.000315852,1.4955,21.4375
2,10/8/2019,1.000304985,1.5465,21.915
2,10/9/2019,1.000285473,1.479,22.1425
2,10/10/2019,0.999819029,0.5745,20.555
2,10/11/2019,0.999308881,0.1865,18.3305
2,10/12/2019,0.999821004,0.844,12.642
2,10/13/2019,0.999877785,0.671,11.5765
2,10/14/2019,0.999943458,0.699,12.618
2,10/15/2019,0.999675608,0.4325,16.987
2,10/16/2019,0.99976546,0.488,10.3325
2,10/17/2019,0.999809154,0.523,11.819
2,10/18/2019,1.000008148,0.8385,15.9865
2,10/19/2019,1.000233114,1.3165,20.3765
2,10/20/2019,1.000131614,0.8785,18.2475
2,10/21/2019,0.999960248,1.03,17.962
2,10/22/2019,0.999590207,0.4045,9.805
2,10/23/2019,0.999900005,0.7805,15.2585
2,10/24/2019,0.999731147,0.4355,10.516
2,10/25/2019,0.999696342,0.431,8.5305
2,10/26/2019,0.999294076,0.0615,0.422
2,10/27/2019,0.999836557,0.673,14.732
2,10/28/2019,0.999421402,0.2165,8.99
2,10/29/2019,0.999273597,0.146,3.591
2,10/30/2019,0.999239055,0.101,1.4925
2,10/31/2019,0.999186751,0.0085,0.3705
2,11/1/2019,0.999472485,0.3355,6.013
2,11/2/2019,0.999295804,0.264,3.9975
2,11/3/2019,0.999499878,0.6675,11.5155
2,11/4/2019,0.999558122,0.4585,10.3325
2,11/5/2019,0.999446326,0.436,4.415
2,11/6/2019,0.999567748,0.726,12.9195
2,11/7/2019,0.99924695,0.06,-0.93
2,11/8/2019,0.99921759,0.0645,-10.252
2,11/9/2019,0.999525791,0.435,6.3315
2,11/10/2019,0.99928396,0.294,5.5775
2,11/11/2019,0.999233874,0.059,0.6045
2,11/12/2019,0.999098185,0.1485,-7.984
2,11/13/2019,0.998989647,0.1025,-9.1005
2,11/14/2019,0.998939328,0.113,-1.857
2,11/15/2019,0.998915897,0.0425,-2.999
2,11/16/2019,0.999459405,0.3525,6.0505
2,11/17/2019,0.999301479,0.169,3.7485
2,11/18/2019,0.999175402,0.0495,2.637
2,11/19/2019,0.99916282,0.0725,0.384
2,11/20/2019,0.999180583,0.1315,6.1915
2,11/21/2019,0.999167507,0.08,5.295
